TimeInstant,soilMoisture,temperature,idDevice,electricalConductivity,_id
2023-05-02T12:00:00,28.1,28.6,urn:DeviceMeasurement:MC0203J22010600005,0.17,1
2023-05-02T12:01:00,28.1,28.6,urn:DeviceMeasurement:MC0203J22010600005,0.17,2
2023-05-05T12:30:29,29.9262,29.2,urn:WaterMeter:MC0203J22010600005,0.187,3
2023-05-05T13:00:28,29.8083,29.1,urn:WaterMeter:MC0203J22010600005,0.182,4
2023-05-05T13:30:29,29.737,28.7,urn:WaterMeter:MC0203J22010600005,0.185,5
2023-05-05T14:00:30,29.6442,28.2,urn:WaterMeter:MC0203J22010600005,0.188,6
2023-05-05T14:30:30,29.6062,27.7,urn:WaterMeter:MC0203J22010600005,0.186,7
2023-05-05T15:00:30,29.5294,27.299,urn:WaterMeter:MC0203J22010600005,0.185,8
2023-05-05T15:30:31,29.4379,26.899,urn:WaterMeter:MC0203J22010600005,0.179,9
2023-05-05T16:00:31,29.4034,26.5,urn:WaterMeter:MC0203J22010600005,0.184,10
2023-05-05T16:30:32,29.4065,26.1,urn:WaterMeter:MC0203J22010600005,0.185,11
2023-05-05T17:00:33,29.3363,25.7,urn:WaterMeter:MC0203J22010600005,0.184,12
2023-05-05T17:30:33,29.3308,25.299,urn:WaterMeter:MC0203J22010600005,0.186,13
2023-05-05T18:00:34,29.2757,24.799,urn:WaterMeter:MC0203J22010600005,0.18,14
2023-05-05T18:30:34,29.2835,24.299,urn:WaterMeter:MC0203J22010600005,0.186,15
2023-05-05T19:00:35,29.273,23.7,urn:WaterMeter:MC0203J22010600005,0.185,16
2023-05-05T19:30:38,29.261,23.2,urn:WaterMeter:MC0203J22010600005,0.186,17
2023-05-05T20:00:36,29.2308,22.7,urn:WaterMeter:MC0203J22010600005,0.194,18
2023-05-05T20:45:25,29.2509,22.2,urn:WaterMeter:MC0203J22010600005,0.179,19
2023-05-05T21:00:25,29.2405,22,urn:WaterMeter:MC0203J22010600005,0.181,20
2023-05-05T21:30:26,29.2559,21.6,urn:WaterMeter:MC0203J22010600005,0.181,21
2023-05-05T22:00:26,29.2234,21.299,urn:WaterMeter:MC0203J22010600005,0.183,22
2023-05-05T22:30:27,29.2416,20.899,urn:WaterMeter:MC0203J22010600005,0.184,23
2023-05-05T23:00:28,29.228,20.6,urn:WaterMeter:MC0203J22010600005,0.183,24
2023-05-05T23:30:28,29.2599,20.299,urn:WaterMeter:MC0203J22010600005,0.185,25
2023-05-06T00:00:28,29.2296,20,urn:WaterMeter:MC0203J22010600005,0.181,26
2023-05-06T00:30:29,29.2424,19.7,urn:WaterMeter:MC0203J22010600005,0.182,27
2023-05-06T01:00:30,29.2533,19.399,urn:WaterMeter:MC0203J22010600005,0.178,28
2023-05-06T01:30:30,29.2536,19.2,urn:WaterMeter:MC0203J22010600005,0.178,29
2023-05-06T02:00:30,29.2369,18.899,urn:WaterMeter:MC0203J22010600005,0.18,30
2023-05-06T02:30:31,29.2296,18.7,urn:WaterMeter:MC0203J22010600005,0.185,31
2023-05-06T03:00:31,29.2936,18.5,urn:WaterMeter:MC0203J22010600005,0.18,32
2023-05-06T03:30:32,29.2769,18.2,urn:WaterMeter:MC0203J22010600005,0.189,33
2023-05-06T04:00:32,29.28,18,urn:WaterMeter:MC0203J22010600005,0.176,34
2023-05-06T04:30:32,29.2614,17.799,urn:WaterMeter:MC0203J22010600005,0.178,35
2023-05-06T05:00:32,29.2796,17.7,urn:WaterMeter:MC0203J22010600005,0.18,36
2023-05-06T05:30:33,29.2311,17.6,urn:WaterMeter:MC0203J22010600005,0.176,37
2023-05-06T06:00:34,29.2579,17.6,urn:WaterMeter:MC0203J22010600005,0.186,38
2023-05-06T06:30:34,29.2288,17.799,urn:WaterMeter:MC0203J22010600005,0.175,39
2023-05-06T07:00:34,29.2148,18,urn:WaterMeter:MC0203J22010600005,0.185,40
2023-05-06T07:30:34,29.1671,18.5,urn:WaterMeter:MC0203J22010600005,0.171,41
2023-05-06T08:00:33,29.0834,19.6,urn:WaterMeter:MC0203J22010600005,0.177,42
2023-05-06T08:30:34,29.0042,21,urn:WaterMeter:MC0203J22010600005,0.168,43
2023-05-06T09:00:36,28.8941,22.2,urn:WaterMeter:MC0203J22010600005,0.165,44
2023-05-06T09:30:35,28.8176,23.5,urn:WaterMeter:MC0203J22010600005,0.167,45
2023-05-06T10:00:35,28.6679,25,urn:WaterMeter:MC0203J22010600005,0.159,46
2023-05-06T10:30:35,28.5476,26.299,urn:WaterMeter:MC0203J22010600005,0.163,47
2023-05-06T11:00:35,28.4177,27.399,urn:WaterMeter:MC0203J22010600005,0.167,48
2023-05-06T11:30:36,28.2878,27.899,urn:WaterMeter:MC0203J22010600005,0.165,49
2023-05-06T12:00:37,28.1791,28.2,urn:WaterMeter:MC0203J22010600005,0.164,50
2023-05-06T12:30:38,28.0799,28.5,urn:WaterMeter:MC0203J22010600005,0.173,51
2023-05-06T13:00:37,27.9716,28.5,urn:WaterMeter:MC0203J22010600005,0.164,52
2023-05-06T13:30:37,27.8801,28.2,urn:WaterMeter:MC0203J22010600005,0.165,53
2023-05-06T14:00:39,27.8126,27.7,urn:WaterMeter:MC0203J22010600005,0.165,54
2023-05-06T14:30:39,27.7703,27.399,urn:WaterMeter:MC0203J22010600005,0.168,55
2023-05-06T15:00:39,27.664,27.2,urn:WaterMeter:MC0203J22010600005,0.167,56
2023-05-06T15:30:39,27.6105,26.799,urn:WaterMeter:MC0203J22010600005,0.167,57
2023-05-06T16:00:39,27.5787,26.399,urn:WaterMeter:MC0203J22010600005,0.166,58
2023-05-06T16:30:40,27.5352,26.1,urn:WaterMeter:MC0203J22010600005,0.166,59
2023-05-06T17:00:41,27.479,25.899,urn:WaterMeter:MC0203J22010600005,0.163,60
2023-05-06T17:30:42,27.4379,25.399,urn:WaterMeter:MC0203J22010600005,0.171,61
2023-05-06T18:00:42,27.4158,24.799,urn:WaterMeter:MC0203J22010600005,0.159,62
2023-05-06T18:30:42,27.3584,24.5,urn:WaterMeter:MC0203J22010600005,0.162,63
2023-05-06T19:00:43,27.3099,24,urn:WaterMeter:MC0203J22010600005,0.163,64
2023-05-06T19:30:43,27.3467,23.5,urn:WaterMeter:MC0203J22010600005,0.162,65
2023-05-06T20:00:44,27.3781,23.2,urn:WaterMeter:MC0203J22010600005,0.164,66
2023-05-06T20:30:44,27.3409,22.799,urn:WaterMeter:MC0203J22010600005,0.172,67
2023-05-06T21:15:25,27.3172,22.2,urn:WaterMeter:MC0203J22010600005,0.168,68
2023-05-06T21:30:25,27.3405,22.1,urn:WaterMeter:MC0203J22010600005,0.168,69
2023-05-06T22:00:26,27.3328,21.899,urn:WaterMeter:MC0203J22010600005,0.165,70
2023-05-06T22:30:26,27.3544,21.7,urn:WaterMeter:MC0203J22010600005,0.168,71
2023-05-06T23:30:27,27.3261,21.399,urn:WaterMeter:MC0203J22010600005,0.165,73
2023-05-07T00:00:28,27.2851,21.299,urn:WaterMeter:MC0203J22010600005,0.169,74
2023-05-07T00:30:28,27.2804,21.2,urn:WaterMeter:MC0203J22010600005,0.164,75
2023-05-07T01:00:28,27.2889,20.899,urn:WaterMeter:MC0203J22010600005,0.162,76
2023-05-07T04:00:31,27.4049,20,urn:WaterMeter:MC0203J22010600005,0.161,82
2023-05-06T23:00:27,27.3351,21.5,urn:WaterMeter:MC0203J22010600005,0.163,72
2023-05-07T01:30:29,27.3107,20.5,urn:WaterMeter:MC0203J22010600005,0.163,77
2023-05-07T02:00:29,27.2982,20.5,urn:WaterMeter:MC0203J22010600005,0.16,78
2023-05-07T02:30:30,27.2982,20.399,urn:WaterMeter:MC0203J22010600005,0.161,79
2023-05-07T03:00:30,27.2198,20.2,urn:WaterMeter:MC0203J22010600005,0.162,80
2023-05-07T03:30:31,27.325,20.1,urn:WaterMeter:MC0203J22010600005,0.162,81
2023-05-07T04:30:32,27.4872,19.799,urn:WaterMeter:MC0203J22010600005,0.159,83
2023-05-07T05:00:31,27.564,19.7,urn:WaterMeter:MC0203J22010600005,0.161,84
2023-05-07T05:30:32,27.5562,19.5,urn:WaterMeter:MC0203J22010600005,0.163,85
2023-05-07T06:00:33,27.6,19.399,urn:WaterMeter:MC0203J22010600005,0.161,86
2023-05-07T06:30:33,27.581,19.299,urn:WaterMeter:MC0203J22010600005,0.167,87
2023-05-07T07:00:34,27.5884,19.299,urn:WaterMeter:MC0203J22010600005,0.164,88
2023-05-07T07:30:33,27.5794,20,urn:WaterMeter:MC0203J22010600005,0.159,89
2023-05-07T08:00:33,27.4906,20.899,urn:WaterMeter:MC0203J22010600005,0.158,90
2023-05-07T08:30:33,27.4126,22.1,urn:WaterMeter:MC0203J22010600005,0.16,91
2023-05-07T09:00:33,27.3114,23.1,urn:WaterMeter:MC0203J22010600005,0.159,92
2023-05-07T09:30:36,27.2152,24.299,urn:WaterMeter:MC0203J22010600005,0.152,93
2023-05-07T10:00:35,27.1873,24.299,urn:WaterMeter:MC0203J22010600005,0.151,94
2023-05-07T10:30:35,27.0496,26.299,urn:WaterMeter:MC0203J22010600005,0.151,95
2023-05-07T11:00:35,26.9553,27.5,urn:WaterMeter:MC0203J22010600005,0.154,96
2023-05-07T11:30:36,26.8956,28.5,urn:WaterMeter:MC0203J22010600005,0.154,97
2023-05-07T12:00:37,26.7486,29.2,urn:WaterMeter:MC0203J22010600005,0.151,98
2023-05-07T12:30:37,26.6706,29.399,urn:WaterMeter:MC0203J22010600005,0.159,99
2023-05-07T13:00:37,26.6035,29.2,urn:WaterMeter:MC0203J22010600005,0.155,100
2023-05-07T13:30:37,26.4925,28.799,urn:WaterMeter:MC0203J22010600005,0.15,101
2023-05-07T14:00:37,26.4379,28.299,urn:WaterMeter:MC0203J22010600005,0.155,102
2023-05-07T14:30:37,26.389,28.2,urn:WaterMeter:MC0203J22010600005,0.155,103
2023-05-07T15:00:38,26.3141,28.1,urn:WaterMeter:MC0203J22010600005,0.157,104
2023-05-07T15:30:39,26.2101,27.7,urn:WaterMeter:MC0203J22010600005,0.153,105
2023-05-07T16:00:39,26.1567,27.5,urn:WaterMeter:MC0203J22010600005,0.152,106
2023-05-07T16:30:40,26.0961,27.2,urn:WaterMeter:MC0203J22010600005,0.149,107
2023-05-07T17:00:39,26.0992,26.6,urn:WaterMeter:MC0203J22010600005,0.155,108
2023-05-07T17:30:41,26.0725,26,urn:WaterMeter:MC0203J22010600005,0.149,109
2023-05-07T18:00:41,26.0139,25.399,urn:WaterMeter:MC0203J22010600005,0.151,110
2023-05-07T18:30:42,25.9922,24.799,urn:WaterMeter:MC0203J22010600005,0.152,111
2023-05-07T19:00:42,25.9612,24.2,urn:WaterMeter:MC0203J22010600005,0.157,112
2023-05-07T19:30:43,25.9782,23.7,urn:WaterMeter:MC0203J22010600005,0.153,113
2023-05-07T20:00:43,25.9526,23.399,urn:WaterMeter:MC0203J22010600005,0.153,114
2023-05-07T20:30:44,25.9549,23,urn:WaterMeter:MC0203J22010600005,0.154,115
2023-05-07T21:00:44,25.977,22.6,urn:WaterMeter:MC0203J22010600005,0.147,116
2023-05-07T21:30:45,25.9708,22.2,urn:WaterMeter:MC0203J22010600005,0.154,117
2023-05-07T22:15:26,25.9945,21.799,urn:WaterMeter:MC0203J22010600005,0.149,118
2023-05-07T22:30:26,25.9495,21.6,urn:WaterMeter:MC0203J22010600005,0.151,119
2023-05-07T23:00:27,25.991,21.299,urn:WaterMeter:MC0203J22010600005,0.146,120
2023-05-07T23:30:28,25.9677,21,urn:WaterMeter:MC0203J22010600005,0.154,121
2023-05-08T00:00:28,25.9619,20.7,urn:WaterMeter:MC0203J22010600005,0.148,122
2023-05-08T00:30:28,25.9526,20.299,urn:WaterMeter:MC0203J22010600005,0.15,123
2023-05-08T01:00:30,25.9255,20,urn:WaterMeter:MC0203J22010600005,0.155,124
2023-05-08T01:30:30,25.9833,19.7,urn:WaterMeter:MC0203J22010600005,0.148,125
2023-05-08T02:00:30,26.0007,19.399,urn:WaterMeter:MC0203J22010600005,0.15,126
2023-05-08T02:30:31,25.9576,19.1,urn:WaterMeter:MC0203J22010600005,0.152,127
2023-05-08T03:00:30,26.0003,18.899,urn:WaterMeter:MC0203J22010600005,0.151,128
2023-05-08T03:30:31,25.9639,18.6,urn:WaterMeter:MC0203J22010600005,0.152,129
2023-05-08T04:00:31,26.0084,18.299,urn:WaterMeter:MC0203J22010600005,0.152,130
2023-05-08T04:30:33,25.9708,18.1,urn:WaterMeter:MC0203J22010600005,0.149,131
2023-05-08T05:00:32,26.0011,17.899,urn:WaterMeter:MC0203J22010600005,0.151,132
2023-05-08T05:30:32,25.9964,17.7,urn:WaterMeter:MC0203J22010600005,0.149,133
2023-05-08T06:00:33,25.989,17.7,urn:WaterMeter:MC0203J22010600005,0.147,134
2023-05-08T06:30:33,25.9635,17.799,urn:WaterMeter:MC0203J22010600005,0.147,135
2023-05-08T07:00:33,25.9355,18.1,urn:WaterMeter:MC0203J22010600005,0.142,136
2023-05-08T07:30:33,25.8964,18.6,urn:WaterMeter:MC0203J22010600005,0.151,137
2023-05-08T08:00:33,25.8219,19.899,urn:WaterMeter:MC0203J22010600005,0.143,138
2023-05-08T08:30:34,25.7447,21.299,urn:WaterMeter:MC0203J22010600005,0.137,139
2023-05-08T09:00:34,25.6369,22.7,urn:WaterMeter:MC0203J22010600005,0.132,140
2023-05-08T09:30:34,25.4988,24.299,urn:WaterMeter:MC0203J22010600005,0.134,141
2023-05-08T12:30:25,24.8533,30.1,urn:WaterMeter:MC0203J22010600005,0.14,147
2023-05-08T13:00:25,24.7121,30.2,urn:WaterMeter:MC0203J22010600005,0.136,148
2023-05-08T19:00:32,23.8781,25.299,urn:WaterMeter:MC0203J22010600005,0.133,160
2023-05-08T10:00:35,25.3979,25.799,urn:WaterMeter:MC0203J22010600005,0.14,142
2023-05-08T10:45:24,25.2443,28,urn:WaterMeter:MC0203J22010600005,0.138,143
2023-05-08T11:00:24,25.1632,28.6,urn:WaterMeter:MC0203J22010600005,0.13,144
2023-05-08T11:30:25,25.05,29.5,urn:WaterMeter:MC0203J22010600005,0.131,145
2023-05-08T12:00:25,24.934,30,urn:WaterMeter:MC0203J22010600005,0.133,146
2023-05-08T13:30:26,24.5899,30,urn:WaterMeter:MC0203J22010600005,0.139,149
2023-05-08T14:00:26,24.5473,29.6,urn:WaterMeter:MC0203J22010600005,0.134,150
2023-05-08T14:30:27,24.4557,29.2,urn:WaterMeter:MC0203J22010600005,0.135,151
2023-05-08T15:00:27,24.3382,28.799,urn:WaterMeter:MC0203J22010600005,0.141,152
2023-05-08T15:30:28,24.2676,28.5,urn:WaterMeter:MC0203J22010600005,0.137,153
2023-05-08T16:00:28,24.1845,27.899,urn:WaterMeter:MC0203J22010600005,0.139,154
2023-05-08T16:30:29,24.1271,27.399,urn:WaterMeter:MC0203J22010600005,0.135,155
2023-05-08T17:00:30,24.0341,27.1,urn:WaterMeter:MC0203J22010600005,0.14,156
2023-05-08T17:30:30,24.0057,26.7,urn:WaterMeter:MC0203J22010600005,0.133,157
2023-05-08T18:00:30,23.9099,26.399,urn:WaterMeter:MC0203J22010600005,0.137,158
2023-05-08T18:30:31,23.9107,25.899,urn:WaterMeter:MC0203J22010600005,0.138,159
2023-05-08T19:30:32,23.8343,24.799,urn:WaterMeter:MC0203J22010600005,0.134,161
2023-05-08T20:00:32,23.8374,24.299,urn:WaterMeter:MC0203J22010600005,0.139,162
2023-05-08T20:30:33,23.8017,23.799,urn:WaterMeter:MC0203J22010600005,0.139,163
2023-05-08T21:00:33,23.8149,23.5,urn:WaterMeter:MC0203J22010600005,0.138,164
2023-05-08T21:30:34,23.8471,23.1,urn:WaterMeter:MC0203J22010600005,0.135,165
2023-05-08T22:00:35,23.7734,22.799,urn:WaterMeter:MC0203J22010600005,0.13,166
2023-05-08T22:30:35,23.7757,22.5,urn:WaterMeter:MC0203J22010600005,0.139,167
2023-05-08T23:00:36,23.8366,22.2,urn:WaterMeter:MC0203J22010600005,0.138,168
2023-05-08T23:30:36,23.7905,21.899,urn:WaterMeter:MC0203J22010600005,0.134,169
2023-05-09T00:00:36,23.7862,21.7,urn:WaterMeter:MC0203J22010600005,0.131,170
2023-05-09T00:30:36,23.832,21.399,urn:WaterMeter:MC0203J22010600005,0.135,171
2023-05-09T01:00:36,23.7765,21.1,urn:WaterMeter:MC0203J22010600005,0.137,172
2023-05-09T01:30:37,23.78,20.899,urn:WaterMeter:MC0203J22010600005,0.132,173
2023-05-09T02:00:38,23.7746,20.799,urn:WaterMeter:MC0203J22010600005,0.128,174
2023-05-09T02:30:38,23.7873,20.799,urn:WaterMeter:MC0203J22010600005,0.135,175
2023-05-09T03:00:39,23.7908,20.799,urn:WaterMeter:MC0203J22010600005,0.13,176
2023-05-09T03:30:39,23.721,20.6,urn:WaterMeter:MC0203J22010600005,0.135,177
2023-05-09T04:00:39,23.7287,20.2,urn:WaterMeter:MC0203J22010600005,0.14,178
2023-05-09T04:30:40,23.7641,19.899,urn:WaterMeter:MC0203J22010600005,0.129,179
2023-05-09T05:00:40,23.7839,19.7,urn:WaterMeter:MC0203J22010600005,0.129,180
2023-05-09T05:30:41,23.7466,19.5,urn:WaterMeter:MC0203J22010600005,0.129,181
2023-05-09T06:00:41,23.7295,19.5,urn:WaterMeter:MC0203J22010600005,0.139,182
2023-05-09T06:30:41,23.6838,19.5,urn:WaterMeter:MC0203J22010600005,0.129,183
2023-05-09T07:00:41,23.6892,19.7,urn:WaterMeter:MC0203J22010600005,0.132,184
2023-05-09T07:30:42,23.6795,20.299,urn:WaterMeter:MC0203J22010600005,0.128,185
2023-05-09T08:00:42,23.591,21.5,urn:WaterMeter:MC0203J22010600005,0.125,186
2023-05-09T08:30:42,23.5271,22.799,urn:WaterMeter:MC0203J22010600005,0.13,187
2023-05-09T09:00:42,23.4336,24.1,urn:WaterMeter:MC0203J22010600005,0.125,188
2023-05-09T09:30:42,23.3125,25.7,urn:WaterMeter:MC0203J22010600005,0.122,189
2023-05-09T10:00:42,23.2043,27.2,urn:WaterMeter:MC0203J22010600005,0.125,190
2023-05-09T10:30:44,23.0651,28.399,urn:WaterMeter:MC0203J22010600005,0.122,191
2023-05-09T11:00:43,22.9968,30.1,urn:WaterMeter:MC0203J22010600005,0.118,192
2023-05-09T11:45:24,22.7893,31.6,urn:WaterMeter:MC0203J22010600005,0.118,193
2023-05-09T12:00:23,22.7272,31.799,urn:WaterMeter:MC0203J22010600005,0.116,194
2023-05-09T12:30:24,22.6248,32.099,urn:WaterMeter:MC0203J22010600005,0.123,195
2023-05-09T13:00:24,22.4642,32,urn:WaterMeter:MC0203J22010600005,0.119,196
2023-05-09T13:30:25,22.3451,31.7,urn:WaterMeter:MC0203J22010600005,0.121,197
2023-05-09T14:00:25,22.2059,31.2,urn:WaterMeter:MC0203J22010600005,0.118,198
2023-05-09T14:30:25,22.0705,30.899,urn:WaterMeter:MC0203J22010600005,0.121,199
2023-05-09T15:00:26,21.9254,30.6,urn:WaterMeter:MC0203J22010600005,0.124,200
2023-05-09T15:30:26,21.7808,30.1,urn:WaterMeter:MC0203J22010600005,0.117,201
2023-05-09T16:00:28,21.6919,29.6,urn:WaterMeter:MC0203J22010600005,0.124,202
2023-05-09T16:30:28,21.5891,29.2,urn:WaterMeter:MC0203J22010600005,0.12,203
2023-05-09T17:00:28,21.4856,28.799,urn:WaterMeter:MC0203J22010600005,0.123,204
2023-05-09T17:30:28,21.4297,28.299,urn:WaterMeter:MC0203J22010600005,0.12,205
2023-05-09T18:00:29,21.3738,27.799,urn:WaterMeter:MC0203J22010600005,0.122,206
2023-05-09T18:30:29,21.3044,27.399,urn:WaterMeter:MC0203J22010600005,0.122,207
2023-05-09T19:00:30,21.2404,26.899,urn:WaterMeter:MC0203J22010600005,0.125,208
2023-05-09T19:30:31,21.2955,26.399,urn:WaterMeter:MC0203J22010600005,0.117,209
2023-05-09T20:00:32,21.2175,25.899,urn:WaterMeter:MC0203J22010600005,0.118,210
2023-05-09T20:30:31,21.1884,25.399,urn:WaterMeter:MC0203J22010600005,0.119,211
2023-05-09T21:00:33,21.2001,24.899,urn:WaterMeter:MC0203J22010600005,0.116,212
2023-05-09T21:30:33,21.1764,24.6,urn:WaterMeter:MC0203J22010600005,0.121,213
2023-05-09T22:00:33,21.1562,24.2,urn:WaterMeter:MC0203J22010600005,0.125,214
2023-05-09T22:30:34,21.1287,23.899,urn:WaterMeter:MC0203J22010600005,0.118,215
2023-05-09T23:00:34,21.1108,23.6,urn:WaterMeter:MC0203J22010600005,0.115,216
2023-05-09T23:30:35,21.1085,23.299,urn:WaterMeter:MC0203J22010600005,0.116,217
2023-05-10T00:00:37,21.1574,23,urn:WaterMeter:MC0203J22010600005,0.119,218
2023-05-10T00:30:35,21.1702,22.799,urn:WaterMeter:MC0203J22010600005,0.122,219
2023-05-10T01:00:36,21.0868,22.6,urn:WaterMeter:MC0203J22010600005,0.117,220
2023-05-10T01:30:36,21.1387,22.299,urn:WaterMeter:MC0203J22010600005,0.121,221
2023-05-10T02:00:37,21.086,22.1,urn:WaterMeter:MC0203J22010600005,0.115,222
2023-05-10T02:30:37,21.1581,21.899,urn:WaterMeter:MC0203J22010600005,0.119,223
2023-05-10T03:00:38,21.1066,21.6,urn:WaterMeter:MC0203J22010600005,0.113,224
2023-05-10T03:30:35,21.1593,21.7,urn:WaterMeter:MC0203J22010600005,0.115,225
2023-05-10T04:00:36,21.0686,21.6,urn:WaterMeter:MC0203J22010600005,0.116,226
2023-05-10T04:30:36,21.1003,21.5,urn:WaterMeter:MC0203J22010600005,0.109,227
2023-05-10T05:00:37,23.2874,21.399,urn:WaterMeter:MC0203J22010600005,0.135,228
2023-05-10T05:30:40,26.51,21.2,urn:WaterMeter:MC0203J22010600005,0.171,229
2023-05-10T06:00:40,27.9351,21.2,urn:WaterMeter:MC0203J22010600005,0.171,230
2023-05-10T06:30:41,28.6454,21.399,urn:WaterMeter:MC0203J22010600005,0.181,231
2023-05-10T07:00:41,28.9623,21.7,urn:WaterMeter:MC0203J22010600005,0.188,232
2023-05-10T07:30:40,29.0927,22.2,urn:WaterMeter:MC0203J22010600005,0.177,233
2023-05-10T08:00:41,29.0931,22.899,urn:WaterMeter:MC0203J22010600005,0.171,234
2023-05-10T08:30:41,29.1326,23.899,urn:WaterMeter:MC0203J22010600005,0.172,235
2023-05-10T09:00:42,29.022,25.1,urn:WaterMeter:MC0203J22010600005,0.175,236
2023-05-10T09:30:42,28.9282,26.399,urn:WaterMeter:MC0203J22010600005,0.167,237
2023-05-10T10:00:42,28.8522,27.6,urn:WaterMeter:MC0203J22010600005,0.169,238
2023-05-10T10:15:00,28.8277,28.299,urn:WaterMeter:MC0203J22010600005,0.169,239
2023-05-10T10:30:00,28.7505,29,urn:WaterMeter:MC0203J22010600005,0.171,240
2023-05-10T10:45:00,28.6799,29.6,urn:WaterMeter:MC0203J22010600005,0.168,241
2023-05-10T11:00:00,28.626,30.2,urn:WaterMeter:MC0203J22010600005,0.169,242
2023-05-10T11:15:00,28.6097,30.6,urn:WaterMeter:MC0203J22010600005,0.166,243
2023-05-10T11:30:00,28.5139,30.899,urn:WaterMeter:MC0203J22010600005,0.171,244
2023-05-10T11:45:00,28.4751,31.2,urn:WaterMeter:MC0203J22010600005,0.165,245
2023-05-10T12:00:00,28.4162,31.399,urn:WaterMeter:MC0203J22010600005,0.165,246
2023-05-10T12:15:00,28.3495,31.5,urn:WaterMeter:MC0203J22010600005,0.175,247
2023-05-10T12:30:00,28.3091,31.399,urn:WaterMeter:MC0203J22010600005,0.17,248
2023-05-10T12:45:00,28.2614,31.2,urn:WaterMeter:MC0203J22010600005,0.166,249
2023-05-10T13:00:00,28.237,30.7,urn:WaterMeter:MC0203J22010600005,0.167,250
2023-05-10T13:15:00,28.1989,30.399,urn:WaterMeter:MC0203J22010600005,0.167,251
2023-05-10T13:30:00,28.1722,30,urn:WaterMeter:MC0203J22010600005,0.181,252
2023-05-10T13:45:00,28.1605,29.7,urn:WaterMeter:MC0203J22010600005,0.175,253
2023-05-10T14:00:00,28.1481,29.2,urn:WaterMeter:MC0203J22010600005,0.165,254
2023-05-10T14:15:00,28.1349,28.899,urn:WaterMeter:MC0203J22010600005,0.172,255
2023-05-10T14:30:00,28.1004,28.7,urn:WaterMeter:MC0203J22010600005,0.174,256
2023-05-10T14:45:00,28.0837,28.5,urn:WaterMeter:MC0203J22010600005,0.169,257
2023-05-10T15:00:00,28.0705,28.2,urn:WaterMeter:MC0203J22010600005,0.167,258
2023-05-10T15:15:00,28.0298,28.1,urn:WaterMeter:MC0203J22010600005,0.17,259
2023-05-10T15:30:00,28.0077,27.899,urn:WaterMeter:MC0203J22010600005,0.168,260
2023-05-10T15:45:00,27.998,27.7,urn:WaterMeter:MC0203J22010600005,0.164,261
2023-05-10T16:00:00,27.9806,27.6,urn:WaterMeter:MC0203J22010600005,0.174,262
2023-05-10T16:15:00,27.9724,27.399,urn:WaterMeter:MC0203J22010600005,0.168,263
2023-05-10T16:30:00,27.9422,27.299,urn:WaterMeter:MC0203J22010600005,0.174,264
2023-05-10T16:45:00,27.9332,27.1,urn:WaterMeter:MC0203J22010600005,0.168,265
2023-05-10T17:00:00,27.915,27,urn:WaterMeter:MC0203J22010600005,0.167,266
2023-05-10T17:15:00,27.8719,26.799,urn:WaterMeter:MC0203J22010600005,0.171,267
2023-05-10T17:30:00,27.8712,26.6,urn:WaterMeter:MC0203J22010600005,0.167,268
2023-05-10T17:45:00,27.8312,26.399,urn:WaterMeter:MC0203J22010600005,0.165,269
2023-05-10T18:15:00,27.8537,26,urn:WaterMeter:MC0203J22010600005,0.175,271
2023-05-10T18:00:00,27.8491,26.2,urn:WaterMeter:MC0203J22010600005,0.173,270
2023-05-10T18:30:00,27.827,25.7,urn:WaterMeter:MC0203J22010600005,0.176,272
2023-05-10T18:45:00,27.8176,25.399,urn:WaterMeter:MC0203J22010600005,0.169,273
2023-05-10T19:00:00,27.8095,25.2,urn:WaterMeter:MC0203J22010600005,0.172,274
2023-05-10T19:15:00,27.8579,24.899,urn:WaterMeter:MC0203J22010600005,0.172,275
2023-05-10T19:30:00,27.8467,24.7,urn:WaterMeter:MC0203J22010600005,0.174,276
2023-05-10T19:45:00,27.8001,24.399,urn:WaterMeter:MC0203J22010600005,0.174,277
2023-05-10T20:00:00,27.7843,24.2,urn:WaterMeter:MC0203J22010600005,0.172,278
2023-05-10T20:15:00,27.8091,24.1,urn:WaterMeter:MC0203J22010600005,0.171,279
2023-05-10T20:30:00,27.8045,23.899,urn:WaterMeter:MC0203J22010600005,0.17,280
2023-05-10T20:45:00,27.7948,23.7,urn:WaterMeter:MC0203J22010600005,0.169,281
2023-05-10T21:00:00,27.7955,23.6,urn:WaterMeter:MC0203J22010600005,0.169,282
2023-05-10T21:15:00,27.8091,23.5,urn:WaterMeter:MC0203J22010600005,0.171,283
